from_node_id,to_node_id,distance_km,travel_time_min
0,1,11.735,26.99
0,2,3.938,10.24
0,3,10.803,24.85
0,4,6.95,15.98
0,5,10.157,26.41
0,6,9.079,26.33
0,7,7.772,20.21
0,8,13.082,30.09
0,9,11.512,33.39
0,10,9.223,23.98
0,11,9.239,26.79
0,12,12.049,31.33
0,13,8.083,18.59
0,14,6.449,16.77
0,15,8.839,25.63
0,16,12.464,28.67
0,17,9.648,22.19
0,18,8.301,21.58
0,19,8.424,19.38
0,20,10.951,25.19
0,21,9.991,28.97
0,22,9.623,22.13
0,23,5.766,14.99
0,24,8.087,23.45
0,25,8.563,24.83
0,26,8.634,22.45
0,27,10.875,28.27
0,28,9.696,28.12
0,29,9.704,28.14
0,30,6.659,17.31
0,31,7.48,19.45
0,32,7.157,18.61
0,33,8.206,18.87
0,34,11.68,26.87
0,35,10.508,24.17
0,36,7.257,16.69
0,37,9.686,28.09
0,38,8.4,24.36
0,39,9.856,25.62
0,40,11.443,33.18
0,41,8.816,22.92
0,42,7.647,19.88
0,43,12.096,35.08
0,44,8.124,23.56
0,45,7.477,19.44
0,46,9.1,26.39
0,47,7.543,17.35
0,48,9.964,28.89
0,49,6.902,17.94
0,50,7.863,18.08
0,51,12.143,27.93
0,52,9.085,26.35
0,53,5.704,14.83
0,54,10.705,31.04
0,55,8.828,22.95
0,56,11.629,26.75
0,57,8.331,24.16
0,58,9.139,21.02
0,59,8.616,24.99
0,60,9.176,26.61
0,61,16.177,37.21
0,62,7.876,22.84
0,63,8.578,19.73
0,64,12.094,27.82
0,65,10.689,27.79
0,66,11.728,30.49
0,67,5.781,16.76
0,68,6.117,15.9
0,69,8.506,19.56
0,70,8.48,22.05
0,71,8.224,18.91
0,72,6.843,17.79
0,73,8.102,23.5
0,74,7.67,22.24
0,75,9.518,27.6
0,76,4.808,12.5
0,77,12.767,33.2
0,78,7.999,18.4
0,79,9.183,21.12
0,80,8.198,21.31
0,81,13.843,35.99
0,82,6.09,14.01
0,83,7.673,17.65
0,84,12.831,37.21
0,85,6.148,15.98
0,86,7.876,20.48
0,87,11.5,26.45
0,88,7.816,20.32
0,89,5.612,12.91
0,90,8.671,22.54
0,91,7.2,18.72
0,92,10.914,28.38
0,93,6.007,17.42
0,94,6.958,16.0
0,95,7.557,21.92
0,96,7.924,20.6
0,97,6.797,15.63
0,98,12.685,29.18
0,99,5.884,15.3
0,100,10.348,26.91
